airline,origin,departure,stops,arrival,destination,class,duration,days_remain,price
Air_India,Delhi,Morning,one,Early_Morning,Kolkata,Economy,19.8,40,84.1
Vistara,Kolkata,Morning,one,Night,Mumbai,Business,9.8,42,740.4
Vistara,Kolkata,Morning,one,Night,Bangalore,Economy,10.5,41,70.7
Vistara,Chennai,Night,one,Morning,Delhi,Business,14.5,14,687.0
Air_India,Bangalore,Afternoon,one,Night,Mumbai,Economy,8.2,20,75.1
AirAsia,Kolkata,Early_Morning,one,Afternoon,Bangalore,Economy,10.8,5,52.0
Vistara,Chennai,Afternoon,zero,Afternoon,Mumbai,Business,2.0,7,272.2
Indigo,Kolkata,Early_Morning,one,Afternoon,Bangalore,Economy,7.8,46,44.1
Air_India,Mumbai,Night,one,Night,Chennai,Business,26.3,44,368.1
Vistara,Delhi,Night,one,Evening,Kolkata,Business,20.2,2,877.5
Vistara,Hyderabad,Night,one,Evening,Bangalore,Business,21.7,42,435.1
Air_India,Bangalore,Night,one,Afternoon,Kolkata,Business,17.5,23,691.0
AirAsia,Chennai,Morning,two_or_more,Night,Delhi,Economy,13.5,25,28.3
SpiceJet,Mumbai,Morning,one,Evening,Chennai,Economy,6.8,19,82.5
Vistara,Delhi,Afternoon,zero,Evening,Bangalore,Business,2.8,26,375.2
Air_India,Mumbai,Evening,zero,Evening,Bangalore,Business,1.8,47,236.2
Vistara,Bangalore,Evening,one,Morning,Mumbai,Economy,14.1,26,82.4
AirAsia,Bangalore,Morning,one,Night,Mumbai,Economy,10.9,17,88.6
Air_India,Mumbai,Evening,zero,Night,Delhi,Business,2.2,33,252.8
Vistara,Delhi,Early_Morning,two_or_more,Evening,Kolkata,Economy,14.0,44,119.0
Vistara,Bangalore,Early_Morning,one,Night,Mumbai,Economy,15.1,39,54.7
Air_India,Mumbai,Early_Morning,one,Night,Chennai,Business,16.5,20,566.6
Air_India,Kolkata,Afternoon,one,Evening,Chennai,Economy,29.5,34,56.7
Vistara,Kolkata,Morning,one,Evening,Bangalore,Business,8.6,49,696.4
Air_India,Delhi,Early_Morning,zero,Morning,Mumbai,Business,2.1,15,343.7
GO_FIRST,Delhi,Evening,zero,Night,Mumbai,Economy,2.2,39,27.5
Vistara,Hyderabad,Night,one,Night,Kolkata,Business,26.2,26,591.8
Vistara,Kolkata,Morning,two_or_more,Evening,Bangalore,Economy,9.0,48,88.7
SpiceJet,Delhi,Evening,zero,Night,Mumbai,Economy,2.3,4,68.0
Indigo,Bangalore,Morning,one,Night,Hyderabad,Economy,9.6,9,80.2
Vistara,Delhi,Morning,one,Evening,Kolkata,Business,10.4,16,684.4
Air_India,Delhi,Early_Morning,one,Early_Morning,Kolkata,Business,23.1,14,655.6
Indigo,Delhi,Early_Morning,zero,Morning,Bangalore,Economy,2.9,7,84.8
Air_India,Delhi,Night,zero,Night,Hyderabad,Economy,2.2,12,68.0
GO_FIRST,Hyderabad,Morning,one,Night,Delhi,Economy,13.0,20,70.0
Air_India,Mumbai,Morning,one,Morning,Hyderabad,Economy,24.9,48,35.4
Vistara,Kolkata,Morning,one,Night,Mumbai,Business,11.8,24,804.3
AirAsia,Hyderabad,Afternoon,one,Night,Kolkata,Economy,6.8,13,60.4
Vistara,Hyderabad,Early_Morning,one,Morning,Kolkata,Business,26.8,31,591.8
Vistara,Mumbai,Morning,zero,Afternoon,Hyderabad,Economy,1.5,35,39.4
Vistara,Delhi,Evening,one,Early_Morning,Bangalore,Economy,12.8,22,55.9
Indigo,Bangalore,Afternoon,one,Evening,Delhi,Economy,5.2,18,45.7
Vistara,Delhi,Afternoon,one,Early_Morning,Hyderabad,Economy,17.5,5,112.4
SpiceJet,Mumbai,Night,one,Morning,Kolkata,Economy,11.3,31,66.4
Air_India,Mumbai,Evening,one,Morning,Delhi,Business,16.2,24,607.0
Air_India,Bangalore,Night,one,Afternoon,Mumbai,Economy,15.8,10,105.9
AirAsia,Hyderabad,Night,one,Morning,Kolkata,Economy,10.8,21,23.5
Vistara,Chennai,Afternoon,one,Evening,Delhi,Economy,5.6,34,59.5
Vistara,Mumbai,Early_Morning,one,Night,Hyderabad,Economy,14.9,12,102.6
AirAsia,Kolkata,Night,one,Afternoon,Bangalore,Economy,12.8,18,44.1
Air_India,Bangalore,Early_Morning,one,Night,Delhi,Business,13.7,21,485.6
Air_India,Delhi,Evening,one,Evening,Bangalore,Economy,24.7,40,48.3
GO_FIRST,Hyderabad,Early_Morning,zero,Early_Morning,Kolkata,Economy,1.8,15,60.4
Air_India,Chennai,Night,one,Evening,Mumbai,Economy,23.7,10,265.0
Air_India,Kolkata,Night,one,Evening,Chennai,Economy,22.5,39,56.7
Vistara,Kolkata,Evening,one,Morning,Mumbai,Economy,16.4,3,139.4
Indigo,Delhi,Afternoon,one,Evening,Bangalore,Economy,5.8,11,111.2
Indigo,Hyderabad,Early_Morning,one,Afternoon,Bangalore,Economy,9.1,15,55.2
AirAsia,Chennai,Night,zero,Late_Night,Kolkata,Economy,2.4,11,57.6
Air_India,Hyderabad,Night,one,Morning,Mumbai,Business,12.2,42,524.0
AirAsia,Bangalore,Evening,one,Late_Night,Kolkata,Economy,10.0,24,38.7
Vistara,Chennai,Early_Morning,one,Evening,Delhi,Economy,12.8,7,131.9
Indigo,Mumbai,Afternoon,one,Night,Hyderabad,Economy,8.5,6,132.6
GO_FIRST,Delhi,Evening,one,Early_Morning,Chennai,Economy,14.7,19,55.9
Indigo,Delhi,Early_Morning,one,Afternoon,Kolkata,Economy,5.8,7,112.6
Vistara,Mumbai,Early_Morning,one,Evening,Chennai,Business,8.8,43,732.9
Vistara,Hyderabad,Night,one,Evening,Mumbai,Business,22.7,46,614.8
Air_India,Kolkata,Morning,one,Morning,Hyderabad,Economy,26.2,2,173.2
Vistara,Kolkata,Evening,one,Morning,Hyderabad,Business,14.9,32,595.8
Indigo,Mumbai,Early_Morning,one,Morning,Hyderabad,Economy,3.4,39,65.4
Air_India,Hyderabad,Evening,one,Morning,Bangalore,Economy,17.0,6,108.9
Vistara,Mumbai,Afternoon,one,Night,Chennai,Economy,8.1,45,48.5
Vistara,Delhi,Morning,one,Night,Mumbai,Business,12.7,46,607.1
Vistara,Mumbai,Night,one,Morning,Chennai,Business,11.2,8,736.7
SpiceJet,Bangalore,Early_Morning,zero,Early_Morning,Mumbai,Economy,1.3,10,59.1
Air_India,Mumbai,Evening,one,Afternoon,Bangalore,Economy,18.5,44,74.3
Vistara,Delhi,Morning,one,Evening,Bangalore,Economy,8.2,48,51.3
Vistara,Chennai,Afternoon,one,Evening,Kolkata,Economy,31.1,18,193.2
Indigo,Mumbai,Evening,one,Night,Chennai,Economy,6.6,32,21.6
GO_FIRST,Delhi,Afternoon,one,Night,Mumbai,Economy,9.2,11,68.0
Vistara,Mumbai,Evening,zero,Evening,Chennai,Economy,2.1,46,33.1
Air_India,Delhi,Night,zero,Night,Kolkata,Economy,2.1,11,68.0
Air_India,Chennai,Morning,one,Night,Mumbai,Economy,12.8,28,65.6
Air_India,Hyderabad,Evening,zero,Evening,Delhi,Economy,2.2,13,70.0
Vistara,Kolkata,Morning,one,Night,Bangalore,Business,12.4,18,696.4
Vistara,Hyderabad,Night,one,Evening,Bangalore,Business,22.2,35,647.5
Vistara,Chennai,Afternoon,one,Morning,Bangalore,Business,20.3,40,504.1
Vistara,Bangalore,Evening,one,Night,Mumbai,Business,26.3,1,908.4
Indigo,Delhi,Afternoon,one,Night,Hyderabad,Economy,7.6,33,24.0
Vistara,Delhi,Afternoon,zero,Afternoon,Mumbai,Business,2.2,20,393.7
Vistara,Chennai,Night,one,Early_Morning,Bangalore,Business,11.3,38,504.1
Vistara,Bangalore,Evening,one,Morning,Kolkata,Business,13.8,13,825.3
Vistara,Kolkata,Afternoon,one,Morning,Bangalore,Business,17.3,23,910.9
Indigo,Delhi,Early_Morning,one,Morning,Kolkata,Economy,5.5,7,90.3
Air_India,Chennai,Early_Morning,one,Evening,Hyderabad,Economy,13.2,13,157.1
Air_India,Mumbai,Early_Morning,one,Night,Delhi,Economy,15.1,29,60.2
GO_FIRST,Delhi,Afternoon,one,Night,Chennai,Economy,8.0,34,55.9
Vistara,Chennai,Morning,one,Night,Mumbai,Economy,11.2,25,53.0
Indigo,Kolkata,Morning,one,Night,Bangalore,Economy,11.2,16,74.1
Vistara,Kolkata,Evening,one,Late_Night,Delhi,Economy,6.6,46,73.8
Vistara,Chennai,Early_Morning,one,Afternoon,Delhi,Economy,7.5,22,59.5
Vistara,Mumbai,Morning,zero,Morning,Chennai,Economy,2.1,23,76.3
Vistara,Mumbai,Early_Morning,one,Night,Bangalore,Economy,14.4,26,73.7
AirAsia,Delhi,Morning,zero,Afternoon,Bangalore,Economy,2.8,41,51.4
Air_India,Chennai,Early_Morning,one,Afternoon,Kolkata,Business,8.3,46,632.4
Air_India,Bangalore,Early_Morning,one,Night,Chennai,Economy,17.8,47,73.6
Air_India,Kolkata,Night,zero,Night,Delhi,Economy,2.5,9,74.1
Air_India,Delhi,Evening,one,Morning,Chennai,Economy,16.9,34,48.5
SpiceJet,Delhi,Evening,one,Evening,Bangalore,Economy,23.1,39,40.8
Air_India,Chennai,Early_Morning,one,Afternoon,Kolkata,Business,30.3,5,632.4
Air_India,Delhi,Night,one,Afternoon,Mumbai,Economy,16.5,20,76.8
AirAsia,Bangalore,Early_Morning,zero,Morning,Kolkata,Economy,2.5,45,38.7
Vistara,Bangalore,Evening,one,Early_Morning,Hyderabad,Economy,12.8,12,89.2
Air_India,Bangalore,Early_Morning,one,Night,Mumbai,Business,15.1,35,624.5
AirAsia,Mumbai,Afternoon,one,Night,Bangalore,Economy,7.5,11,58.3
Indigo,Delhi,Early_Morning,one,Morning,Chennai,Economy,5.8,42,45.6
Indigo,Bangalore,Night,one,Late_Night,Delhi,Economy,5.8,22,40.2
SpiceJet,Mumbai,Afternoon,one,Night,Kolkata,Economy,5.9,28,67.5
Air_India,Delhi,Evening,one,Afternoon,Kolkata,Economy,18.3,18,72.1
SpiceJet,Chennai,Afternoon,one,Afternoon,Mumbai,Economy,23.6,38,79.1
Vistara,Bangalore,Evening,one,Early_Morning,Mumbai,Business,12.3,47,765.2
Air_India,Delhi,Early_Morning,one,Evening,Chennai,Economy,12.8,18,84.1
Vistara,Bangalore,Early_Morning,one,Evening,Hyderabad,Economy,12.9,36,71.5
Air_India,Bangalore,Early_Morning,one,Night,Mumbai,Business,16.3,28,333.1
Vistara,Mumbai,Early_Morning,one,Afternoon,Delhi,Business,6.3,9,471.3
Air_India,Kolkata,Night,one,Evening,Mumbai,Economy,19.9,31,96.8
Vistara,Bangalore,Evening,one,Morning,Delhi,Business,12.7,48,575.1
Vistara,Hyderabad,Early_Morning,one,Night,Mumbai,Business,16.0,7,616.1
Vistara,Bangalore,Early_Morning,one,Morning,Delhi,Economy,26.4,2,123.9
Vistara,Chennai,Morning,one,Night,Kolkata,Economy,12.0,39,67.8
Indigo,Chennai,Morning,one,Evening,Mumbai,Economy,7.4,44,20.9
Vistara,Kolkata,Morning,one,Evening,Delhi,Economy,7.7,45,73.8
SpiceJet,Delhi,Evening,one,Early_Morning,Chennai,Economy,13.1,20,47.4
